name,rows,cols,description
00_tokens,19,1,Token-IDs of the prompt (integers)
01_tok_emb,19,128,Token embeddings: wte[idx]
02_pos_emb,19,128,Learned absolute position embeddings: wpe[0..T-1]
03_x_input,19,128,Sum of token embeddings and position embeddings
L0_10_ln1,19,128,L0_10_ln1
L0_11_q_h0,19,32,L0_11_q_h0
L0_12_k_h0,19,32,L0_12_k_h0
L0_13_v_h0,19,32,L0_13_v_h0
L0_14_scores_scaled_h0,19,19,L0_14_scores_scaled_h0
L0_15_scores_masked_h0,19,19,L0_15_scores_masked_h0
L0_16_attn_probs_h0,19,19,L0_16_attn_probs_h0
L0_17_head_out_h0,19,32,L0_17_head_out_h0
L0_11_q_h1,19,32,L0_11_q_h1
L0_12_k_h1,19,32,L0_12_k_h1
L0_13_v_h1,19,32,L0_13_v_h1
L0_14_scores_scaled_h1,19,19,L0_14_scores_scaled_h1
L0_15_scores_masked_h1,19,19,L0_15_scores_masked_h1
L0_16_attn_probs_h1,19,19,L0_16_attn_probs_h1
L0_17_head_out_h1,19,32,L0_17_head_out_h1
L0_11_q_h2,19,32,L0_11_q_h2
L0_12_k_h2,19,32,L0_12_k_h2
L0_13_v_h2,19,32,L0_13_v_h2
L0_14_scores_scaled_h2,19,19,L0_14_scores_scaled_h2
L0_15_scores_masked_h2,19,19,L0_15_scores_masked_h2
L0_16_attn_probs_h2,19,19,L0_16_attn_probs_h2
L0_17_head_out_h2,19,32,L0_17_head_out_h2
L0_11_q_h3,19,32,L0_11_q_h3
L0_12_k_h3,19,32,L0_12_k_h3
L0_13_v_h3,19,32,L0_13_v_h3
L0_14_scores_scaled_h3,19,19,L0_14_scores_scaled_h3
L0_15_scores_masked_h3,19,19,L0_15_scores_masked_h3
L0_16_attn_probs_h3,19,19,L0_16_attn_probs_h3
L0_17_head_out_h3,19,32,L0_17_head_out_h3
L0_18_attn_concat,19,128,L0_18_attn_concat
L0_19_attn_proj,19,128,L0_19_attn_proj
L0_20_resid_post_attn,19,128,L0_20_resid_post_attn
L0_30_ln2,19,128,L0_30_ln2
L0_31_fc,19,512,L0_31_fc
L0_32_gelu,19,512,L0_32_gelu
L0_33_mlp_proj,19,128,L0_33_mlp_proj
L0_34_resid_post_mlp,19,128,L0_34_resid_post_mlp
L1_10_ln1,19,128,L1_10_ln1
L1_11_q_h0,19,32,L1_11_q_h0
L1_12_k_h0,19,32,L1_12_k_h0
